WBInteraction000503726,F44B9.6,F36H1.4,-
WBInteraction000005651,ZK154.3,K11G9.4
WBInteraction000503874,F41E6.13,ZK381.4,-
WBInteraction000502675,B0395.4,C09E8.3,-
WBInteraction000517633,F37E3.1,ZK1193.1
WBInteraction000502749,Y95B8A.5,K08E7.3,+
WBInteraction000519965,F31A3.4,F09E8.3,+
WBInteraction000519322,Y47D3A.12,C32C4.6,+
WBInteraction000008948,R10E11.1,F32H2.5
WBInteraction000504276,C29E6.7,B0303.3,-
WBInteraction000009066,ZC84.2,ZK1290.2
WBInteraction000003809,ZC64.4,C50C10.7
WBInteraction000009019,VZK822L.1,W06D12.3
WBInteraction000501766,VF36H2L.1,ZC434.6
WBInteraction000502485,F26F4.10,F47G4.3,-
WBInteraction000521827,C41G7.5,F45E4.8,+
WBInteraction000505160,W06D4.5,W08D2.1,+
WBInteraction000504021,W02A11.4,F28B12.3,-
WBInteraction000521442,K04G11.4,C03C11.2,-
WBInteraction000503671,F14F3.1,F38C2.2,+
WBInteraction000504994,C52E12.2,F13B10.1,+
WBInteraction000004124,C32F10.2,F10C5.1
WBInteraction000517632,F01F1.7,ZK1193.1
WBInteraction000502321,F53G12.5,B0304.1,-
WBInteraction000503549,C02H7.1,F02D8.3,+
WBInteraction000005578,C15F1.7,Y55D5A.5
WBInteraction000517854,H12I13.4,Y54E10A.4,-
WBInteraction000003354,C18A3.6,C02H7.3
WBInteraction000502077,F58H12.1,F48E8.1,-
WBInteraction000503740,F55A12.3,C38C10.4,+
WBInteraction000523864,W03C9.4,F25D7.3,-
WBInteraction000520867,C27A12.8,F38A5.7,-
WBInteraction000503057,T07A9.5,B0491.3,-
WBInteraction000003115,R107.8,Y73C8B.4
WBInteraction000503855,R06C7.8,Y54G9A.6,+
WBInteraction000503512,M117.2,C14B9.4,+
WBInteraction000502627,C09G4.5,Y2H9A.1,-
WBInteraction000524455,T05H10.5,T19E7.2,+
WBInteraction000519817,T20F5.2,K04E7.2,+
WBInteraction000524520,Y53C12A.1,T05E7.5,-
WBInteraction000520642,Y105E8B.8,C37H5.8,-
WBInteraction000518571,Y73B6BL.38,Y53C12B.3,-
WBInteraction000504030,K08F8.2,F48B9.4,+
WBInteraction000052634,W07A12.7,F08G12.4
WBInteraction000502921,Y55D5A.5,MTCE.31,-
WBInteraction000524187,T14G12.2,F32A7.6,+
WBInteraction000518859,Y23H5A.7,R06F6.1,+
WBInteraction000502131,F33H1.1,F31F6.5
WBInteraction000519058,T17E9.1,Y51H4A.3,+
WBInteraction000520679,Y62E10A.10,F43E2.8,-
WBInteraction000519340,F02A9.6,T25C12.1,+
WBInteraction000503262,T07A9.5,T25E4.1,-
WBInteraction000504294,C29E6.7,F36D4.5,-
WBInteraction000504805,F22E12.4,T05B4.2,-
WBInteraction000502544,F23F1.4,F47G4.3,-
WBInteraction000502610,F33H1.1,ZK520.3,+
WBInteraction000520554,Y32F6B.3,B0285.9,+
WBInteraction000520827,F48F7.1,F59G1.6,+
WBInteraction000520236,F01D4.6,Y22F5A.3,+
WBInteraction000502656,F49E8.3,Y49E10.14
WBInteraction000503414,F42G8.12,F10D11.1,-
WBInteraction000504980,D2021.1,Y55D5A.5,+
WBInteraction000502822,C27A2.6,F29F11.5,+
WBInteraction000503962,Y17G9B.3,F58B6.3,-
